hora,N_cte,E_NQ,E_WQ,PI_0,PI_1,PI_2,PI_3,PI_4m
8,0,0,0,1,0,0,0,0
9,0,0,0,1,0,0,0,0
10,38,0.466463136,44.19124448,0.788747854,0.172391981,0.037062817,0.001773844,2.35E-05
11,28,0.305378548,39.26295617,0.871566066,0.111207783,0.015912817,0.001261566,5.18E-05
12,32,0.853859652,116.8892173,0.627234256,0.205855341,0.092000502,0.040617874,0.034292027
13,36,1.769346148,160.0372543,0.458973954,0.232165805,0.13694618,0.085551534,0.086362528
14,27,0.375166885,47.86465028,0.773130942,0.15119176,0.058414559,0.014400501,0.002862238
15,14,0.04549064,11.69759317,0.979813665,0.020186335,0,0,0
16,16,0.091547499,20.59818723,0.914621517,0.071248976,0.013166723,0.000962784,0
17,20,0.799170749,145.3012381,0.575968027,0.17861482,0.118689332,0.072096114,0.054631707
18,29,2.002438505,218.0956643,0.439743691,0.200098259,0.136164719,0.0943635,0.12962983
19,38,0.850656592,103.0883689,0.649387615,0.19399741,0.083334196,0.033493523,0.039787256
20,25,0.967149109,129.0843196,0.625167631,0.219565458,0.106553947,0.037989769,0.010723195
21,18,0.24387219,62.92048256,0.887199011,0.064885067,0.030027346,0.013722191,0.004166385
22,1,0,0,1,0,0,0,0
23,0,0,0,1,0,0,0,0